level,node,max_flow,cost,
0,sobradinho_irrigation,16018560,-850,-850
0,sobradinho_urban,214272,-999,-999
0,sobradinho_others,864,-699,-699
0,norte_irrigation,1820448,-850,
0,norte_urban,432000,-999,
0,norte_others,1952640,-699,
0,itaparica_irrigation,795744,-850,
0,itaparica_urban,37152,-999,
0,Itaparica_others,0.03288392,-699,
0,leste_irrigation,130464,-850,
0,leste_urban,171936,-999,
0,leste_others,864,-699,
0,pafonso_irrigation,3976128.001,-850,
0,pafonso_urban,529632,-999,
0,pafonso_others,415584,-699,
0,xingo_irrigation,398304,-850,
0,xingo_urban,57024,-999,
0,xingo_others,1728,-699,
0,upnorte_irrigation,15465600,-850,
0,upnorte_urban,1900800,-999,
0,upnorte_others,1728000,-699,
0,upleste_irrigation,704160,-850,
0,upleste_urban,122688,-999,
0,upleste_others,864,-699,
0,xingo_irrigation_downstream,2348298.95,-850,
0,xingo_urban_downstream,803534.23,-999,
0,xingo_others_downstream,26129.18,-699,
1,norte_irrigation,3162240,-850,
1,norte_urban,1374624,-999,
1,norte_others,778464,-699,
1,leste_irrigation,611712,-850,
1,leste_urban,495936,-999,
1,leste_others,383616,-699,
1,sobradinho_irrigation,16018560,-850,
1,sobradinho_urban,214272,-999,
1,sobradinho_others,864,-699,
1,itaparica_irrigation,795744,-850,
1,itaparica_urban,37152,-999,
1,Itaparica_others,0.03288392,-699,
1,pafonso_irrigation,3976128.001,-850,
1,pafonso_urban,529632,-999,
1,pafonso_others,415584,-699,
1,xingo_irrigation,398304,-850,
1,xingo_urban,57024,-999,
1,xingo_others,1728,-699,
1,upnorte_irrigation,15465600,-850,
1,upnorte_urban,1900800,-999,
1,upnorte_others,1728000,-699,
1,upleste_irrigation,704160,-850,
1,upleste_urban,122688,-999,
1,upleste_others,864,-699,
1,xingo_irrigation_downstream,2348298.95,-850,
1,xingo_urban_downstream,803534.23,-999,
1,xingo_others_downstream,26129.18,-699,
2,norte_irrigation,4142016,-850,
2,norte_urban,1490400,-999,
2,norte_others,1060992,-699,
2,leste_irrigation,700704,-850,
2,leste_urban,546912,-999,
2,leste_others,457056,-699,
2,sobradinho_irrigation,17620416,-850,
2,sobradinho_urban,235699.2,-999,
2,sobradinho_others,950.4,-699,
2,itaparica_irrigation,875318.4,-850,
2,itaparica_urban,40867.2,-999,
2,Itaparica_others,0.036172312,-699,
2,pafonso_irrigation,4373740.801,-850,
2,pafonso_urban,582595.2,-999,
2,pafonso_others,457142.4,-699,
2,xingo_irrigation,438134.4,-850,
2,xingo_urban,62726.4,-999,
2,xingo_others,1900.8,-699,
2,upnorte_irrigation,17012160,-850,
2,upnorte_urban,2090880,-999,
2,upnorte_others,1900800,-699,
2,upleste_irrigation,774576,-850,
2,upleste_urban,134956.8,-999,
2,upleste_others,950.4,-699,
2,xingo_irrigation_downstream,2583128.845,-850,
2,xingo_urban_downstream,883887.653,-999,
2,xingo_others_downstream,28742.098,-699,
3,norte_irrigation,4502304,-850,
3,norte_urban,1626912,-999,
3,norte_others,1175904,-699,
3,leste_irrigation,723168,-850,
3,leste_urban,606528,-999,
3,leste_others,495936,-699,
3,sobradinho_irrigation,19382457.6,-850,
3,sobradinho_urban,259269.12,-999,
3,sobradinho_others,1045.44,-699,
3,itaparica_irrigation,962850.24,-850,
3,itaparica_urban,44953.92,-999,
3,Itaparica_others,0.039789543,-699,
3,pafonso_irrigation,4811114.881,-850,
3,pafonso_urban,640854.72,-999,
3,pafonso_others,502856.64,-699,
3,xingo_irrigation,481947.84,-850,
3,xingo_urban,68999.04,-999,
3,xingo_others,2090.88,-699,
3,upnorte_irrigation,18713376,-850,
3,upnorte_urban,2299968,-999,
3,upnorte_others,2090880,-699,
3,upleste_irrigation,852033.6,-850,
3,upleste_urban,148452.48,-999,
3,upleste_others,1045.44,-699,
3,xingo_irrigation_downstream,2841441.73,-850,
3,xingo_urban_downstream,972276.4183,-999,
3,xingo_others_downstream,31616.3078,-699,
