date,Q1in,Q2in,Q3in,Q4in,Q5in
1934-01-01,699265675.7,34552465.92,51020171.18,14479482.33,9641018.513
1934-01-02,703146449.2,34762936.32,51330951.77,14567681.6,9699745.118
1934-01-03,707033913.7,34973769.6,51642268.19,14656032.94,9758572.976
1934-01-04,710928069.2,35184965.76,51954120.44,14744536.36,9817502.087
1934-01-05,714830030.8,35396585.28,52266597.82,14833217.18,9876549.326
1934-01-06,722654027,35820912.96,52893160.08,15011035.03,9994947.562
1934-01-07,730504787.2,36246692.16,53521865.64,15189461.15,10113750.81
1934-01-08,738382311.4,36673922.88,54152714.52,15368495.54,10232959.07
1934-01-09,746287714.7,37102665.6,54785796.02,15548163.54,10352589.21
1934-01-10,754218766.7,37532799.36,55420931.53,15728414.47,10472607.49
1934-01-11,762177697.9,37964445.12,56058299.66,15909299.02,10593047.66
1934-01-12,770163393,38397542.4,56697811.11,16090791.84,10713892.84
1934-01-13,776169670.6,38723287.68,57178806.59,16227297.96,10804784.07
1934-01-14,784201087.5,39158864.64,57821979.53,16409829.9,10926321.14
1934-01-15,788226832.5,39377197.44,58144369.74,16501323.98,10987241.56
1934-01-16,796297280.1,39814891.2,58790668.35,16684742.99,11109369.27
1934-01-17,802368237.3,40144144.32,59276843.5,16822719.1,11201239.28
1934-01-18,808452576.4,40474123.2,59764090.32,16960999.34,11293311.8
1934-01-19,808452576.4,40474123.2,59764090.32,16960999.34,11293311.8
1934-01-20,814552527.9,40804948.8,60252587.4,17099634.4,11385620.57
1934-01-21,820666976.5,41136560.64,60742245.44,17238598.95,11478148.73
1934-01-22,828841134.5,41579879.04,61396849.39,17424375.01,11601845.86
1934-01-23,832938249.9,41802082.56,61724955.11,17517491.14,11663846.3
1934-01-24,841151438.7,42247517.76,62382684.72,17704154.26,11788134.07
1934-01-25,845267512,42470749.44,62712308.62,17797701.25,11850421.4
1934-01-26,853518616.3,42918240.96,63373074.6,17985226.09,11975282.94
1934-01-27,857653647.4,43142500.8,63704216.68,18079203.94,12037857.15
1934-01-28,865942667.4,43592048.64,64368019.02,18267590.49,12163292.45
1934-01-29,870096656.2,43817336.64,64700679.28,18361999.2,12226153.55
1934-01-30,878423591.8,44268940.8,65367517.99,18551247.47,12352162.62
1934-01-31,882596538.5,44495256.96,65701696.43,18646087.03,12415310.59
1934-02-01,890960274.5,44948856.96,66371482.19,18836171.68,12541876.55
1934-02-02,893055669.1,45062498.88,66539285.85,18883794.22,12573585.54
1934-02-03,895152179,45176201.28,66707178.81,18931442.1,12605311.41
1934-02-04,895152179,45176201.28,66707178.81,18931442.1,12605311.41
1934-02-05,882596538.5,44495256.96,65701696.43,18646087.03,12415310.59
1934-02-06,859723393.3,43254751.68,63869966.33,18126243.55,12069178.01
1934-02-07,824750710,41358038.4,61069279.5,17331410.95,11539946.67
1934-02-08,772163998.7,38506043.52,56858023.86,16136260.08,10744167.41
1934-02-09,701204947.3,34657640.64,51175472.17,14523556.62,9670364.94
1934-02-10,628737077.9,30727408.32,45372091.13,12876561.89,8573729.966
1934-02-11,575190209.7,27823340.16,41083944.08,11659589.31,7763420.944
1934-02-12,532076823.4,25485122.88,37631332.44,10679740.98,7110998.736
1934-02-13,502220516.2,23865891.84,35240375.89,10001189.49,6659192.012
1934-02-14,481494063.2,22741810.56,33580557.47,9530134.401,6345544.689
1934-02-15,464448769.3,21817373.76,32215534.09,9142741.896,6087603.264
1934-02-16,447613126.3,20904307.2,30867300.01,8760114.18,5832834.426
1934-02-17,435954078.3,20271988.8,29933618.66,8495136.187,5656401.478
1934-02-18,426044723.9,19734563.52,29140056.49,8269923.9,5506446.13
1934-02-19,416214546.2,19201432.32,28352834.96,8046511.082,5357688.939
1934-02-20,401618154.1,18409809.6,27183924.86,7714775.361,5136806.027
1934-02-21,387202418.7,17627984.64,26029482.12,7387145.469,4918656.939
1934-02-22,372972915.9,16856259.84,24889953.28,7063748.128,4703326.054
1934-02-23,360483070.1,16178883.84,23889739.88,6779888.393,4514320.888
1934-02-24,348143771.6,15509672.64,22901582.62,6499450.182,4327593.909
1934-02-25,338990498.9,15013252.8,22168569.08,6291421.547,4189080.123
1934-02-26,328423197.3,14440144.32,21322317.1,6051255.936,4029168.252
