Datetime,Q1in,Q2in,Q3in,Q4in,Q5in,sobradinho_reservoir,sobradinho_eto,sobradinho_spill,sobradinho_spill_limit,sobradinho_turbine,sobradinho_downElevation,north_abstraction,north_link,north_Ereservoir,north_irrigation,north_urban,north_others,east_abstraction,east_link,east_Ereservoir,east_irrigation,east_urban,east_others,itaparica_reservoir,itaparica_eto,itaparica_turbine,itaparica_spill,itaparica_downElevation,pafonso_reservoir,pafonso_eto,pafonso_turbine,pafonso_spill,pafonso_downElevation,xingo_reservoir,xingo_eto,xingo_spill,xingo_turbine,xingo_downstream_balance,sobradinho_irrigation,upnorth_irrigation,upeast_irrigation,pafonso_irrigation,xingo_irrigation,xingo_irrigation_downstream,sobradinho_urban,upnorth_urban,upeast_urban,pafonso_urban,xingo_urban,xingo_urban_downstream,sobradinho_others,upnorth_others,upeast_others,pafonso_others,xingo_others,xingo_others_downstream,xingo_dreno
1941-01-01T00:00:00,654496233.6645161,32124433.88903226,47434939.08032258,13461996.426967742,8963535.701193549,34116000000.000008,15558376.121943563,185778956.35031426,185778956.35031426,369000000.0,554778956.3503143,563799166.2393465,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,602927453.7996691,1374019.0967741935,1000000.0,723168.0,606528.0,495935.9999999999,10782000000.0,3282323.232243517,237900000.0,302887240.5029094,540787240.5029094,1353000000.0000033,1089158.4905660376,309052800.0,237894387.68218213,546947187.6821821,3800000000.0,271400.0,294273382.3975692,259200000.0,553473382.3975692,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.000000015,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,549628047.9414692
1941-02-01T00:00:00,584108341.9428571,28307007.360000003,41798127.067857146,11862273.846392857,7898376.417964286,34116000000.000015,14664720.0,180800849.78285694,180800849.78285694,369000000.0,549800849.782857,555003633.142857,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,588495108.6907141,1825632.0,1000000.0,723168.0,606528.0,495936.0,10782000000.0,2910117.56,237900000.0,345859359.13071406,583759359.130714,1353000000.0000033,862780.000000003,362880000.0,225924026.73610687,588804026.7361069,3800000000.0,214800.0,335934565.3940712,260000000.0,595934565.3940713,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299967.999999989,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,592089230.9379712
1941-03-01T00:00:00,548385676.9096774,26369619.468387097,38937380.10709677,11050396.228451613,7357795.824548387,34116000000.00002,11217668.0,148525236.74967724,148525236.74967724,369000000.0,517525236.74967724,520790632.2180643,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,551421360.8051611,1825632.0,1000000.0,723168.0,606528.0,495936.0,10782000000.0,2162266.12,237900000.0,309533462.6851611,547433462.6851611,1353000000.0000033,641060.0000000023,362880000.0,189007972.67261267,551887972.6726127,3800000000.0,159600.0,298533130.73716104,260000000.0,558533130.7371612,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.00000003,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,554687796.281061
1941-04-01T00:00:00,628533448.8266666,30716364.672,45355784.074666664,12871933.958733333,8570648.507199999,34116000000.000023,18288760.0,221601916.6666665,221601916.6666665,369000000.0,590601916.6666665,598214057.3386664,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,635263189.8933331,1825632.0,1000000.0,723168.0,606528.0,495936.0,10782000000.0,2804442.9,237900000.0,392733114.9933331,630633114.9933331,1353000000.0000033,831450.000000003,362880000.0,273838772.71106637,636718772.7110664,3800000000.0,207000.0,384529383.4582664,260000000.0,644529383.4582665,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.000000067,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,640684049.0021664
1941-05-01T00:00:00,378640183.38709676,17163619.2,25343800.111612905,7192549.482741935,4789087.147741936,33148830728.040024,21196420.0,-5.960464477539063e-08,-5.960464477539063e-08,369000000.0,368999999.99999994,363059395.1999999,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,380096543.79161286,1825632.0,1000000.0,723168.0,606528.0,495936.0,10782000000.0,2910117.56,237900000.0,137460794.23161283,375360794.2316128,1353000000.0000033,862780.000000003,362880000.0,12855737.473354757,375735737.47335476,3800000000.0,214800.0,119756986.86109668,260000000.0,379756986.8610967,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.000000011,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,375911652.4049967
1941-06-01T00:00:00,251779630.51333335,10283446.656,15184537.331999999,4309359.119633334,2869343.6762333335,28467618111.243042,19177278.91323271,0.0,0.0,369000000.0,369000000.0,356179222.656,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,363057108.46800005,1825632.0,1000000.0,723168.0,606528.0,495936.0,10578213633.199003,2698768.24,237900000.0,127425587.12136662,365325587.1213666,1353000000.0000033,800120.0000000028,362880000.0,-5.960464477539063e-08,362879999.99999994,3800000000.0,199200.0,104997105.9162333,260000000.0,364997105.9162333,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299967.9999999814,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,361151771.4601333
1941-07-01T00:00:00,221312373.67741936,8631081.290322581,12744654.633870969,3616922.4303870965,2408291.6308709676,22726129290.877563,18878918.30340238,1.1920928955078125e-07,1.1920928955078125e-07,368000000.0,368000000.0000001,353526857.29032266,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,357964860.40419364,1825632.0,1000000.0,723168.0,606528.0,495936.0,10166138442.648422,3240432.675857559,237900000.0,128291543.81061295,366191543.8106129,1353000000.0000033,973640.0000000034,362880000.0,0.0,362880000.0,3800000000.0,242400.0,104492853.87087095,260000000.0,364492853.87087095,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0000000373,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,360647519.41477096
1941-08-01T00:00:00,201964480.23548388,7581764.996129032,11195234.194258066,3177198.1926774196,2115505.644580645,16403327651.681095,18283051.275369853,1.1920928955078125e-07,1.1920928955078125e-07,368000000.0,368000000.0000001,352477540.99612916,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,355366123.67038727,1825632.0,1000000.0,723168.0,606528.0,495936.0,9626196791.711992,4049546.232917102,237900000.0,129008418.04832274,366908418.04832274,1353000000.0000033,1250790.0000000047,362880000.0,1.7881393432617188e-07,362880000.0000002,3800000000.0,311400.0,104131067.88458085,260000000.0,364131067.88458085,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299967.9999999963,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,360285733.42848086
1941-09-01T00:00:00,174961793.19,6117297.5808,9032801.607966667,2563501.6155999997,1706881.9156666666,9553215705.775755,15656085.89351138,0.0,0.0,368000000.0,368000000.0,351013073.58079994,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,351739223.6687666,1825632.0,1000000.0,723168.0,606528.0,495936.0,8959728742.566599,4433558.68154645,237900000.0,129795634.62539992,367695634.62539995,1353000000.0000033,1424310.0000000051,362880000.0,-5.960464477539063e-08,362879999.99999994,3800000000.0,354600.0,103679244.15566659,260000000.0,363679244.1556666,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299968.0000000633,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,359833909.6995666
1941-10-01T00:00:00,188139030.3677419,6831953.660903226,10088062.775870968,2862983.86116129,1906289.1742580647,5447000000.000002,10137677.831070988,0.0,0.0,291076420.6507275,291076420.6507275,295817494.3116308,5678208.0,30000000.0,4502304.0,0.0,1175904.0,300226303.64750177,495936.0,1000000.0,0.0,0.0,495936.0,7234000000.0,4558278.002947732,237900000.0,112940758.75960559,350840758.7596056,1300000000.0,1544810.0000000056,353365753.4001218,0.0,353365753.4001218,3800000000.0,384600.0,94334404.81437987,260000000.0,354334404.8143799,19382457.6,0.0,0.0,0.0,481947.84,2841441.73,0.0,-4.936009645462036e-08,0.0,0.0,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,350489070.3582799
1941-11-01T00:00:00,252224692.77666667,10307584.224000001,15220178.865666667,4319474.157266666,2876078.6728666667,5447000000.0,4221991.167593207,-2.9802322387695312e-08,-2.9802322387695312e-08,228619198.56907356,228619198.56907353,236835902.79307353,5678208.0,30000000.0,4502304.0,0.0,1175904.0,246376828.2187402,0.0,1000000.0,0.0,0.0,0.0,7234000000.0,3151055.5573400673,236908000.0,6317772.661400139,243225772.66140014,1300000000.0,1105470.0,245936920.17866683,0.0,245936920.17866683,3700000000.0,311400.0,5.960464477539063e-08,251832841.3048668,251832841.30486685,19382457.6,0.0,0.0,0.0,0.0,2841441.73,0.0,-5.587935447692871e-09,0.0,0.0,0.0,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,247987506.84876686
1941-12-01T00:00:00,329274032.0516129,14486288.609032258,21390453.759354837,6070593.062322581,4042043.684741935,5447000000.0,3634976.352847627,0.0,0.0,306255552.65876526,306255552.65876526,299937585.2677975,6867179.930955313,30000000.0,4502304.0,1188971.9309553131,1175904.0,313607780.05619705,1219104.0,1000000.0,723168.0,0.0,495936.0,7234000000.0,3029627.597519641,236908000.0,72451048.45867741,309359048.4586774,1300000000.0,1062870.0,309052800.0,-5.960464477539063e-08,309052799.99999994,3800000000.0,289420.0,49826579.473128974,259200000.0,309026579.473129,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,0.0,-1.4901161193847656e-08,0.0,0.0,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,305181245.017029
1942-01-01T00:00:00,608257400.1290323,29616710.678709675,43732034.98870968,12411115.313709678,8263817.01983871,12150272424.890774,4380033.6177170165,-5.960464477539063e-08,-5.960464477539063e-08,368000000.0,367999999.99999994,374512486.6787096,7305120.0,30000000.0,4502304.0,1626912.0,1175904.0,409937870.14741933,1825632.0,1000000.0,723168.0,606528.0,495936.0,10335035608.472036,2792843.0758698094,236908000.0,68377988.34664512,305285988.3466451,1352999999.9999986,979799.9999999999,309052800.0,0.0,309052800.0,3800000000.0,276000.0,56487579.2598387,260000000.0,316487579.2598387,19382457.6,18713376.0,852033.6,4811114.881,481947.84,2841441.73,259269.12,2299967.999999989,148452.48,640854.72,68999.04,972276.4183,1045.44,2090880.0,1045.44,502856.64,2090.88,31616.3078,312642244.8037387
